tox21-esre-bla-p1_summary.csv tox21-nfkb-bla-p1_summary.csv tox21-ror-cho-antagonist-p1_pubchem_summary.csv tox21-rxr-bla-agonist-p1_pubchem_summary.csv tox21-ap1-bla-agonist-p1_pubchem_summary.csv
PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity
144214002,NCGC00090698-04,2,43,,,,active 144209033,NCGC00259384-01,3,30,,,,inconclusive 170466898,NCGC00189073-02,2,79,,,,active 144211336,NCGC00254921-01,2,50,,,,active 144212705,NCGC00255204-01,2,68,,,,active
144211830,NCGC00256305-01,2,43,,,,active 144206445,NCGC00247726-01,3,30,,,,inconclusive 144208434,NCGC00258788-01,2,78,,,,active 251919745,NCGC00357203-01,2,50,,,,active 170466311,NCGC00163169-05,2,68,,,,active
170465856,NCGC00015964-17,2,43,,,,active 144206444,NCGC00247725-01,3,30,,,,inconclusive 144209222,NCGC00259573-01,2,78,,,,active 144209595,NCGC00259946-01,2,49,,,,active 170465065,NCGC00178860-06,2,68,,,,active
170466239,NCGC00167769-04,2,43,,,,active 144206433,NCGC00247717-01,3,30,,,,inconclusive 144209677,NCGC00260028-01,2,78,,,,active 144208529,NCGC00258883-01,2,49,,,,active 170466393,NCGC00262932-01,2,67,,,,active
170466454,NCGC00024633-07,2,43,,,,active 144208765,NCGC00259116-01,3,30,,,,inconclusive 144211215,NCGC00254802-01,2,78,,,,active 170466763,NCGC00253704-01,2,49,,,,active 170465330,NCGC00263568-01,2,67,,,,active
144214004,NCGC00090942-03,2,42,,,,active 144211589,NCGC00256185-01,3,30,,,,inconclusive 144211364,NCGC00254949-01,2,78,,,,active 144210785,NCGC00254477-01,2,49,,,,active 170465019,NCGC00016391-13,2,67,,,,active
144213338,NCGC00256410-01,2,42,,,,active 170465337,NCGC00263557-01,3,30,,,,inconclusive 144211494,NCGC00255075-01,2,78,,,,active 144210609,NCGC00254223-01,2,49,,,,active 144208226,NCGC00258581-01,2,67,,,,active
144207661,NCGC00258017-01,2,42,,,,active 144213195,NCGC00256588-01,3,30,,,,inconclusive 170466896,NCGC00186465-04,2,78,,,,active 144210737,NCGC00254261-01,2,48,,,,active 144211951,NCGC00256240-01,2,67,,,,active
144208854,NCGC00259205-01,2,42,,,,active 144210534,NCGC00253948-01,3,30,,,,inconclusive 144207801,NCGC00258157-01,2,77,,,,active 144211065,NCGC00254653-01,2,48,,,,active 170465337,NCGC00263557-01,2,67,,,,active
144212488,NCGC00255380-01,2,42,,,,active 170465265,NCGC00186653-01,3,30,,,,inconclusive 144208960,NCGC00259311-01,2,77,,,,active 144211251,NCGC00254836-01,2,48,,,,active 170466391,NCGC00262908-01,2,67,,,,active
144208314,NCGC00258668-01,2,42,,,,active 170466430,NCGC00184983-03,3,30,,,,inconclusive 144209850,NCGC00260200-01,2,77,,,,active 144209550,NCGC00259901-01,2,48,,,,active 170464788,NCGC00022001-13,2,66,,,,active
170465372,NCGC00167500-02,2,42,,,,active 144208080,NCGC00258436-01,3,30,,,,inconclusive 144212741,NCGC00255963-01,2,77,,,,active 144211718,NCGC00256270-01,2,48,,,,active 144210120,NCGC00260468-01,2,66,,,,active
144209790,NCGC00260140-01,2,42,,,,active 144210818,NCGC00254337-01,3,30,,,,inconclusive 144213967,NCGC00090708-05,2,77,,,,active 144208802,NCGC00259153-01,2,48,,,,active 144212248,NCGC00255866-01,2,66,,,,active
144212349,NCGC00255976-01,2,41,,,,active 144212283,NCGC00255876-01,3,30,,,,inconclusive 170464963,NCGC00274060-01,2,77,,,,active 144208254,NCGC00258609-01,2,48,,,,active 144211088,NCGC00254675-01,2,66,,,,active
144210334,NCGC00254204-01,2,41,,,,active 170465375,NCGC00015436-11,3,30,,,,inconclusive 170464976,NCGC00344583-01,2,77,,,,active 144211070,NCGC00254658-01,2,48,,,,active 144207801,NCGC00258157-01,2,66,,,,active
144212012,NCGC00256278-01,2,41,,,,active 170466546,NCGC00178369-05,3,30,,,,inconclusive 170465011,NCGC00025125-18,2,77,,,,active 144211097,NCGC00254684-01,2,48,,,,active 144212082,NCGC00256108-01,2,66,,,,active
144209033,NCGC00259384-01,2,41,,,,active 170465856,NCGC00015964-17,3,30,,,,inconclusive 144210942,NCGC00254335-01,2,76,,,,active 144213410,NCGC00256987-01,2,48,,,,active 144209948,NCGC00260298-01,2,66,,,,active
144209424,NCGC00259775-01,2,41,,,,active 144210121,NCGC00260469-01,3,30,,,,inconclusive 144211141,NCGC00254728-01,2,76,,,,active 144211741,NCGC00255587-01,2,48,,,,active 144207712,NCGC00258068-01,2,66,,,,active
144212518,NCGC00255126-01,2,41,,,,active 144209424,NCGC00259775-01,3,30,,,,inconclusive 144211307,NCGC00254892-01,2,76,,,,active 170465074,NCGC00263538-01,2,48,,,,active 144207391,NCGC00257747-01,2,66,,,,active
144213881,NCGC00257340-01,2,41,,,,active 170465319,NCGC00164559-03,3,30,,,,inconclusive 144213302,NCGC00256541-01,2,76,,,,active 144210951,NCGC00254449-01,2,48,,,,active 170465011,NCGC00025125-18,2,65,,,,active
144211375,NCGC00254960-01,2,41,,,,active 144206840,NCGC00183830-01,3,30,,,,inconclusive 144213454,NCGC00257125-01,2,76,,,,active 144210146,NCGC00260494-01,2,47,,,,active 170465186,NCGC00263543-01,2,65,,,,active
144211854,NCGC00256279-01,2,41,,,,active 144209462,NCGC00259813-01,3,30,,,,inconclusive 144207798,NCGC00258154-01,2,75,,,,active 144207746,NCGC00258102-01,2,47,,,,active 144209439,NCGC00259790-01,2,65,,,,active
144210798,NCGC00254498-01,2,41,,,,active 170466894,NCGC00015042-11,3,30,,,,inconclusive 144209705,NCGC00260056-01,2,75,,,,active 144209639,NCGC00259990-01,2,47,,,,active 144210818,NCGC00254337-01,2,65,,,,active
144211956,NCGC00256198-01,2,41,,,,active 144211669,NCGC00255839-01,3,30,,,,inconclusive 144209781,NCGC00260132-01,2,75,,,,active 144209463,NCGC00259814-01,2,47,,,,active 170466473,NCGC00160566-02,2,65,,,,active
144211589,NCGC00256185-01,2,41,,,,active 144208176,NCGC00258531-01,3,30,,,,inconclusive 144209828,NCGC00260178-01,2,75,,,,active 144210703,NCGC00254338-01,2,47,,,,active 144209003,NCGC00259354-01,2,65,,,,active
144207684,NCGC00258040-01,2,41,,,,active 170466339,NCGC00024665-10,3,30,,,,inconclusive 144209845,NCGC00260195-01,2,75,,,,active 144209549,NCGC00259900-01,2,47,,,,active 144207895,NCGC00258251-01,2,65,,,,active
144211995,NCGC00255985-01,2,41,,,,active 170465880,NCGC00025158-02,3,30,,,,inconclusive 144209856,NCGC00260206-01,2,75,,,,active 144209145,NCGC00259496-01,2,47,,,,active 144214025,NCGC00244580-01,2,65,,,,active
144212397,NCGC00255409-01,2,41,,,,active 144207919,NCGC00258275-01,3,30,,,,inconclusive 144209858,NCGC00260208-01,2,75,,,,active 144210893,NCGC00254520-01,2,47,,,,active 170465569,NCGC00263540-01,2,65,,,,active
144209574,NCGC00259925-01,2,41,,,,active 144210161,NCGC00260509-01,3,30,,,,inconclusive 144210532,NCGC00254209-01,2,75,,,,active 144208629,NCGC00258982-01,2,47,,,,active 144212285,NCGC00255542-01,2,65,,,,active
144209258,NCGC00259609-01,2,41,,,,active 170466071,NCGC00166207-02,3,30,,,,inconclusive 144210888,NCGC00254524-01,2,75,,,,active 144210348,NCGC00254040-01,2,47,,,,active 144208046,NCGC00258402-01,2,65,,,,active
170466653,NCGC00179511-03,2,41,,,,active 170464706,NCGC00016016-18,3,30,,,,inconclusive 144211853,NCGC00255579-01,2,75,,,,active 144210438,NCGC00254046-01,2,47,,,,active 251919799,NCGC00357014-01,2,64,,,,active
144210041,NCGC00260389-01,2,41,,,,active 144209219,NCGC00259570-01,3,30,,,,inconclusive 144212390,NCGC00255626-01,2,75,,,,active 144210698,NCGC00254315-01,2,47,,,,active 170464976,NCGC00344583-01,2,64,,,,active
170464666,NCGC00179578-03,2,41,,,,active 144207986,NCGC00258342-01,3,30,,,,inconclusive 144212639,NCGC00255815-01,2,75,,,,active 144211045,NCGC00254634-01,2,47,,,,active 144207536,NCGC00257892-01,2,64,,,,active
144209295,NCGC00259646-01,2,40,,,,active 144213602,NCGC00257038-01,3,30,,,,inconclusive 144213748,NCGC00257401-01,2,75,,,,active 144211064,NCGC00257519-01,2,47,,,,active 144211972,NCGC00255467-01,2,64,,,,active
144213166,NCGC00256568-01,2,40,,,,active 144208987,NCGC00259338-01,3,30,,,,inconclusive 170465186,NCGC00263543-01,2,75,,,,active 144210873,NCGC00254355-01,2,47,,,,active 144208476,NCGC00258830-01,2,64,,,,active
144211994,NCGC00256068-01,2,40,,,,active 144211857,NCGC00255583-01,3,30,,,,inconclusive 170466177,NCGC00253763-01,2,75,,,,active 144208868,NCGC00259219-01,2,47,,,,active 144209207,NCGC00259558-01,2,64,,,,active
